Galaxy,Line,Intensity (Jy km/s),Error (Jy km/s),Detection
HE0433,HCN,2.249138978,0.111228035,Yes
HE0433,HCO,2.388577357,0.124086276,Yes
HE1029,HCN,0.599989529,0.086969242,Yes
HE1029,HCO,2.474647001,0.156209649,Yes
HE1108,CS,0.420665894,0.059197116,Yes
HE1108,HCN,0.776589007,0.063685146,Yes
HE1108,HCO,1.529093808,0.05915543,Yes
HE0108,CS,0.481547043,0,No
HE0108,HCN,0.572896833,0,No
HE0108,HCO,0.629384255,0,No
HE0433,CS,1.083590943,0,No
HE1029,CS,0.76828046,0,No
HE1353,CS,0.403724491,0,No
HE1353,HCN,0.436691384,0,No
HE1353,HCO,0.47343432,0,No